gsis_id,pff_id
00-0021679,1702
00-0021607,1708
00-0021647,1709
00-0021762,1715
00-0021645,1716
00-0021808,1720
00-0021798,1721
00-0022803,1722
00-0022836,1723
00-0022921,1724
00-0022942,1725
00-0022777,1726
00-0022922,1727
00-0022909,1728
00-0022923,1729
00-0022889,1730
00-0022735,1731
00-0022924,1732
00-0022778,1733
00-0022910,1734
00-0022837,1735
00-0022725,1736
00-0022779,1737
00-0022780,1738
00-0022911,1739
00-0022890,1740
00-0022891,1741
00-0022712,1742
00-0022912,1743
00-0022925,1744
00-0022736,1745
00-0022913,1746
00-0022926,1747
00-0022695,1748
00-0022914,1749
00-0022781,1750
00-0022782,1751
00-0022943,1753
00-0022927,1754
00-0022838,1755
00-0022915,1756
00-0022722,1757
00-0022783,1758
00-0022713,1759
00-0022839,1760
00-0022916,1761
00-0022893,1762
00-0022894,1763
00-0022840,1764
00-0022944,1765
00-0022841,1766
00-0022895,1767
00-0022696,1768
00-0022917,1769
00-0022928,1770
00-0022929,1771
00-0022750,1772
00-0022784,1774
00-0022897,1776
00-0022842,1777
00-0022918,1778
00-0022843,1779
00-0022844,1780
00-0022714,1782
00-0022726,1783
00-0022689,1784
00-0022930,1785
00-0022804,1787
00-0022846,1788
00-0022847,1789
00-0022848,1790
00-0022849,1791
00-0022805,1792
00-0022851,1794
00-0022806,1795
00-0022785,1796
00-0022852,1797
00-0022807,1799
00-0022854,1801
00-0022738,1802
00-0022739,1803
00-0022808,1804
00-0022855,1805
00-0022856,1807
00-0022858,1809
00-0022786,1810
00-0022787,1811
00-0022753,1812
00-0022809,1813
00-0022697,1814
00-0022214,1815
00-0022859,1816
00-0022860,1817
00-0022810,1818
00-0022723,1819
00-0022788,1821
00-0022707,1822
00-0022862,1824
00-0022863,1825
00-0022754,1826
00-0022864,1827
00-0022811,1829
00-0022215,1830
00-0022216,1831
00-0022900,1832
00-0022667,1833
00-0022688,1834
00-0022866,1836
00-0022710,1837
00-0022867,1838
00-0022727,1839
00-0022217,1840
00-0022901,1841
00-0022869,1843
00-0022870,1844
00-0022790,1846
00-0022740,1847
00-0022872,1849
00-0022791,1850
00-0022711,1851
00-0022813,1853
00-0022814,1854
00-0022873,1855
00-0022793,1856
00-0022815,1857
00-0022875,1859
00-0022876,1860
00-0022816,1861
00-0022755,1862
00-0022218,1864
00-0022817,1865
00-0022902,1866
00-0022819,1868
00-0022757,1871
00-0022820,1872
00-0022821,1873
00-0022796,1875
00-0022701,1876
00-0022878,1879
00-0022797,1880
00-0022879,1881
00-0022758,1883
00-0022904,1885
00-0022759,1887
00-0022760,1890
00-0022742,1891
00-0022905,1892
00-0022728,1894
00-0022906,1897
00-0022685,1898
00-0022907,1899
00-0022881,1900
00-0022824,1906
00-0022692,1907
00-0022763,1909
00-0022744,1910
00-0022702,1914
00-0022826,1915
00-0022764,1916
00-0022703,1920
00-0022828,1921
00-0022882,1922
00-0022883,1924
00-0022694,1925
00-0022730,1929
00-0022664,1930
00-0022766,1932
00-0022801,1935
00-0022746,1936
00-0022885,1937
00-0022767,1938
00-0022684,1939
00-0022709,1941
00-0022886,1942
00-0022681,1945
00-0022706,1946
00-0022747,1947
00-0022223,1948
00-0022770,1949
00-0022669,1950
00-0022693,1952
00-0022771,1953
00-0022887,1954
00-0022724,1955
00-0022704,1959
00-0022773,1961
00-0022888,1963
00-0022832,1965
00-0022247,1972
00-0022342,1973
00-0022228,1975
00-0022409,1980
00-0022521,1981
00-0022278,1991
00-0022290,1993
00-0022502,2001
00-0022356,2005
00-0022431,2006
00-0022245,2011
00-0022588,2015
00-0022388,2016
00-0022477,2018
00-0022564,2024
00-0022434,2029
00-0022592,2032
00-0022358,2037
00-0022414,2044
00-0022484,2046
00-0022932,2047
00-0022344,2050
00-0022294,2051
00-0022391,2052
00-0022527,2057
00-0022266,2066
00-0022366,2079
00-0022296,2081
00-0022610,2084
00-0022307,2088
00-0022284,2091
00-0022539,2093
00-0022308,2095
00-0023426,2096
00-0022529,2099
00-0022397,2100
00-0022350,2105
00-0022590,2107
00-0022240,2109
00-0022421,2111
00-0022613,2112
00-0022591,2115
00-0022201,2122
00-0022403,2123
00-0022455,2130
00-0022582,2141
00-0022250,2142
00-0022531,2148
00-0022405,2152
00-0022424,2153
00-0022483,2154
00-0022352,2170
00-0022322,2171
00-0022353,2174
00-0022277,2183
00-0022554,2194
00-0022555,2199
00-0022427,2204
00-0022538,2207
00-0022341,2210
00-0022662,2211
00-0022288,2212
00-0022952,2215
00-0023436,2218
00-0023437,2219
00-0023438,2220
00-0023439,2221
00-0023440,2222
00-0023441,2223
00-0023442,2224
00-0023443,2225
00-0023444,2226
00-0023452,2227
00-0023445,2228
00-0023446,2229
00-0023447,2230
00-0023448,2231
00-0023449,2232
00-0023450,2233
00-0023451,2234
00-0023453,2235
00-0023454,2236
00-0023455,2237
00-0023456,2238
00-0023457,2239
00-0023458,2240
00-0023459,2241
00-0023460,2242
00-0023461,2243
00-0023462,2244
00-0023463,2245
00-0023464,2246
00-0023465,2247
00-0023466,2248
00-0023467,2249
00-0023468,2250
00-0023469,2251
00-0023470,2252
00-0023471,2253
00-0023472,2254
00-0023473,2255
00-0023474,2256
00-0023475,2257
00-0023476,2258
00-0023477,2259
00-0023478,2260
00-0023479,2261
00-0023480,2262
00-0023481,2263
00-0023484,2266
00-0023485,2267
00-0023486,2268
00-0023487,2269
00-0023488,2270
00-0023489,2271
00-0023490,2272
00-0023491,2273
00-0023492,2274
00-0023494,2276
00-0023495,2277
00-0023496,2278
00-0023497,2279
00-0023498,2280
00-0023499,2281
00-0023500,2282
00-0023501,2283
00-0023502,2284
00-0023503,2285
00-0023504,2286
00-0023505,2287
00-0023506,2288
00-0023507,2289
00-0023508,2290
00-0023509,2291
00-0023510,2292
00-0023511,2293
00-0023512,2294
00-0023513,2295
